issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
ITEQ Corp,2002/12/1,2002/12/1,TWU00R133001,6213,3674,ITEQ Corp,0,iteq,4,Bioteque,Bioteque,BIOTEQUE,TW:BIO,2002/3/4,15245L,T4107,TW0004107008
Draytek Corporation,2002/12/23,2002/12/23,TWU00R164006,6216,3674,Draytek Corporation,5,rateotion,6,Promate Solutions,Promate Solutions,PROMATE SOLUTIONS,TW:PMS,2016/3/8,8949RX,T6577,TW0006577000
MJC Probe Inc,2003/1/6,2003/1/6,TW0006223001,6223,3674,MJC Probe Inc,2,cprobe,9,CCP Contact Probes,CCP Contact Probes,CCP CONTACT PROBES,TW:CPN,2003/1/9,26675F,T6217,TW0006217003
Topro Technology Inc,2003/3/31,2003/3/31,TW0006236003,6236,3674,Topro Technology Inc,0,topro,9,Mutto Optronics,Mutto Optronics,MUTTO OPTRONICS,TW:MOC,2010/6/29,774512,T4950,TW0004950001
Trinity Metallize Co Ltd,2003/3/31,2003/3/31,TW0004534003,4534,3499,Trinity Metallize Co Ltd,6,trinityei,6,Trinity Precision Technology,Trinity Precision Technology,TRINITY PRECISION TECH.,TW:TRM,2003/3/31,26924T,T4534,TW0004534003
Catalyst Logic Co Ltd,2003/3/31,2003/3/31,TW0006238009,6238,7812,Catalyst Logic Co Ltd,4,cataystic,6,Cathay Plastic Suspended 16/07/90,Cathay Plastic Suspended 16/07/90,CATHAY PLASTIC SUSP.16/07/90,TW:CPL,1989/7/3,772074,TW1302,NA
Amigo Technology Co Ltd,2003/4/8,2003/4/8,TW0006241003,6241,3571,Amigo Technology Co Ltd,0,amigo,10,Amazing Microelectronic,Amazing Microelectronic,AMAZING MICROELECTRONIC,TW:AMX,2012/12/25,87958E,T6411,TW0006411002
Ene Technology Inc,2003/4/22,2003/4/22,TW0006243009,6243,3613,Ene Technology Inc,0,ene,12,Taiwan Environmental Scientific,Taiwan Environmental Scientific,TAIWAN ENV.SCIEN.,TW:EVS,2015/7/6,9748XG,T8476,TW0008476003
Lanner Electronics Inc,2003/5/19,2003/5/19,TW0006245004,6245,3571,Lanner Electronics Inc,1,laners,7,Alpha Networks,Alpha Networks,ALPHA NETWORKS,TW:ANI,2004/12/20,29830F,T3380,TW0003380002
Oncoprobe Biotech Inc,2003/7/22,2003/7/22,TW0004113006,4113,2836,Oncoprobe Biotech Inc,4,ncorebiotec,4,Syncore Biotechnology,Syncore Biotechnology,SYNCORE BIOTECHNOLOGY,TW:SYO,2013/8/29,89729N,T4192,TW0004192000
Planet Technology Corporation,2003/9/17,2003/9/17,TW0006263007,6263,3674,Planet Technology Corporation,3,pantration,5,Pan-International Industrial,Pan-International Industrial,PAN-INTL.INDL.,TW:PAI,1993/11/9,315361,T2328,TW0002328002
Shun On Electronic Co Ltd,2003/10/20,2003/10/20,TWU00R236002,6283,3674,Shun On Electronic Co Ltd,0,shunon,9,Shunsin Technology Holdings,Shunsin Technology Holdings,SHUNSIN TECH.HDG.,TW:SUS,2015/1/26,9297H5,T6451,KYG811801045
Mingjong Technologies Co Ltd,2003/10/30,2003/10/30,TW0006276009,6276,3679,Mingjong Technologies Co Ltd,5,jontechnol,5,Jorjin Technologies,Jorjin Technologies,JORJIN TECHNOLOGIES,TW:JTG,2010/11/16,77451N,T4980,TW0004980008
Feng Sheng Technology Co Ltd,2003/11/26,2003/11/26,TW0008071002,8071,3674,Feng Sheng Technology Co Ltd,2,fenghng,7,Feng Ching Metal,Feng Ching Metal,FENG CHING METAL,TW:FCM,2010/12/9,31192D,T2061,TW0002061009
Pro-Nets Technology Ltd,2003/12/30,2003/12/30,TW0008082009,8082,3661,Pro-Nets Technology Ltd,2,prones,9,Plastron Precision,Plastron Precision,PLASTRON PRECISION,TW:PPC,2002/8/9,26099J,T6185,TW0006185002
Gu Ta Internet Information Co,2004/2/1,2004/2/1,,3085,7375,Gu Ta Internet Information Co,5,ainterntin,5,Pan-International Industrial,Pan-International Industrial,PAN-INTL.INDL.,TW:PAI,1993/11/9,315361,T2328,TW0002328002
L&K Precision Technology Co,2004/2/2,2004/2/2,TW0008097007,8097,3699,L&K Precision Technology Co,4,lprecision,5,Largan Precision,Largan Precision,LARGAN PRECISION,TW:LPC,2002/3/11,15284R,T3008,TW0003008009
Ame Inc,2004/2/14,2004/2/14,TW0003188009,3188,3674,Ame Inc,0,ame,9,Taiwan Mobile,Taiwan Mobile,TAIWAN MOBILE,TW:TCE,2000/9/19,264789,T3045,TW0003045001
CviLux Corporation,2004/2/23,2004/2/23,TW0008103003,8103,3674,CviLux Corporation,4,vioration,6,Aver Information,Aver Information,AVER INFORMATION,TW:ARM,2009/7/15,68917X,T3669,TW0003669008
Wayi Intl Digital Ent,2004/2/26,2004/2/26,TW0003086005,3086,7372,Wayi Intl Digital Ent,4,wayidigital,4,Wayi International Digital Entertainment,Wayi International Digital Entertainment,WAYI INTL.DIG.ENTM.,TW:WID,2004/3/29,28736X,T3086,TW0003086005
Prime View Intl Co Ltd,2004/3/1,2004/3/1,TW0008069006,8069,3679,Prime View Intl Co Ltd,5,primeiei,7,Prime Oil Chemical Service,Prime Oil Chemical Service,PRIME OIL CHEMICAL SER.,TW:PAN,1990/1/4,777113,T2904,TW0002904000
Topower Computer Ind Co Ltd,2004/5/16,2004/5/16,TW0003226007,3226,3577,Topower Computer Ind Co Ltd,4,twecomputer,4,Jetwell Computer Company,Jetwell Computer Company,JETWELL COMPUTER CO.,TW:JET,2013/9/30,90410P,T3147,TW0003147005
Optimum Care Intl Tech Inc,2004/8/27,2004/8/27,,3252,3674,Optimum Care Intl Tech Inc,7,omucaent,7,Compucase Enterprise,Compucase Enterprise,COMPUCASE ENTERPRISE,TW:CPE,2001/4/16,257306,T3032,TW0003032009
Crete Systems Inc,2004/9/1,2004/9/1,TW0003213005,3213,3674,Crete Systems Inc,3,ctesystem,6,Focaltech Systems,Focaltech Systems,FOCALTECH SYSTEMS,TW:ORS,2007/7/3,50761H,T3545,TW0003545000
Ocean Bright Co Ltd,2004/9/16,2004/9/16,TW0003266003,3266,2836,Ocean Bright Co Ltd,3,oceanbrg,7,Oceanic Beverages,Oceanic Beverages,OCEANIC BEVS.,TW:OCE,1989/7/3,777110,T1213,TW0001213007
Dynapack Intl Tech Corp,2004/10/12,2004/10/12,TW0003211009,3211,3691,Dynapack Intl Tech Corp,7,naacttec,7,Jinan Acetate Chemical,Jinan Acetate Chemical,JINAN ACETATE CHEMICAL,TW:JAT,2015/11/9,8717H0,T4763,KYG5138S1057
ABC Taiwan Electronics Corp,2004/11/3,2004/11/3,TW0003236006,3236,3678,ABC Taiwan Electronics Corp,2,abtaiwan,6,Abnova (Taiwan),Abnova (Taiwan),ABNOVA (TAIWAN),TW:ABN,2009/12/28,53812P,T4133,TW0004133004
Applied Vacuum Coating Tech,2004/11/5,2004/11/5,TW0008077009,8077,3679,Applied Vacuum Coating Tech,6,appliedco,5,Applied Biocode,Applied Biocode,APPLIED BIOCODE,T:APB,2017/2/9,9013U1,T6598,KYG0488D1051
Phison Electronics Corp,2004/11/9,2004/11/9,TW0008299009,8299,3674,Phison Electronics Corp,1,phison,8,Phoenix Silicon International,Phoenix Silicon International,PHOENIX SILICON INTL.,TW:POS,2014/12/23,9264FH,T8028,TW0008028002
Topoint Technology Co Ltd,2004/11/24,2004/11/24,TW0008021007,8021,3674,Topoint Technology Co Ltd,0,topoint,8,Topco Scientific,Topco Scientific,TOPCO SCIENTIFIC,TW:TCO,2000/5/24,280861,T5434,TW0005434005
FuPo Electronics Corp,2004/11/25,2004/11/25,TW0008066002,8066,3674,FuPo Electronics Corp,1,fuos,10,Taiwan Fructose,Taiwan Fructose,TAIWAN FRUCTOSE,TW:TFC,2000/1/21,280203,T4207,TW0004207006
ENG Electric Co Ltd,2004/12/7,2004/12/7,TW0008287004,8287,3679,ENG Electric Co Ltd,0,engelectric,4,English Electric,English Electric,ENG ELECTRIC,TW:ENG,2005/1/3,29917W,T8287,TW0008287004
Yeu Hwan Technology Corp Ltd,2004/12/16,2004/12/16,TW0003276002,3276,3674,Yeu Hwan Technology Corp Ltd,1,yeuwan,9,Syneurx International (Taiwan),Syneurx International (Taiwan),SYNEURX INTERNATIONAL (TAIWAN),TW:SNU,2016/1/29,8866EW,T6575,TW0006575004
Princo Corp,2004/12/27,2004/12/27,TW0008053000,8053,3695,Princo Corp,0,princo,3,Princeton Technology,Princeton Technology,PRINCETON TECH.,TW:PTC,2001/12/25,149009,T6129,TW0006129000
Acme Electronics Corp,2005/1/15,2005/1/15,TW0008121005,8121,3674,Acme Electronics Corp,0,acmes,8,Abocom Systems,Abocom Systems,ABOCOM SYSTEMS,TW:ABO,2000/12/8,297067,T2444,TW0002444007
Jingo Digital Inc,2005/2/22,2005/2/22,TW0009946004,9946,3652,Jingo Digital Inc,4,gdigital,7,Gamania Digital Entertainment,Gamania Digital Entertainment,GAMANIA DIG.ENTM.,TW:GAM,2002/5/21,25532J,T6180,TW0006180003
Power Mate Technology Co Ltd,2005/2/22,2005/2/22,TW0008109000,8109,3674,Power Mate Technology Co Ltd,1,powermae,5,Powertip Image,Powertip Image,POWERTIP IMAGE,TW:POM,2015/1/27,9290WY,T6498,TW0006498009
Info-Tek Corp,2005/3/1,2005/3/1,TW0008183005,8183,3674,Info-Tek Corp,0,info-tek,7,Information-Tek,Information-Tek,INFO-TEK,TW:IFT,2005/3/30,30394C,T8183,TW0008183005
Hunt Electronic Co Ltd,2005/5/9,2005/5/9,TW0003297008,3297,7382,Hunt Electronic Co Ltd,0,hunt,11,Chunghwa Telecom,Chunghwa Telecom,CHUNGHWA TELECOM,TW:CHG,2000/10/30,269528,T2412,TW0002412004
Aimtron Technology Corp,2005/6/9,2005/6/9,TW0003298006,3298,3679,Aimtron Technology Corp,0,aimtron,8,Amiccom Electronics,Amiccom Electronics,AMICCOM ELECTRONICS,TW:AXX,2012/6/27,87274P,T5272,TW0005272009
Syn-Tech Chem & Pharm Co Ltd,2005/9/19,2005/9/19,TW0001777001,1777,2836,Syn-Tech Chem & Pharm Co Ltd,6,syn-techc,6,SYN-Technology Chemical and Pharmaceutical,SYN-Technology Chemical and Pharmaceutical,SYN-TECH CHM.& PHARM.,TW:CAP,2005/10/19,30923N,T1777,TW0001777001
GMI Technology Inc,2005/10/11,2005/10/11,TW0003312005,3312,3577,GMI Technology Inc,0,gmi,3,Gomaji,Gomaji,GOMAJI,TW:GMJ,2015/1/14,9273ND,T8472,TW0008472002
Kenmos Technology Co Ltd,2005/11/9,2005/11/9,TW0008107004,8107,3679,Kenmos Technology Co Ltd,1,enmos,9,Excelliance MOS,Excelliance MOS,EXCELLIANCE MOS,TW:EXX,2012/12/7,87906H,T5299,TW0005299002
Sunflex Tech Co Ltd,2006/2/8,2006/2/8,TW0003390001,3390,3674,Sunflex Tech Co Ltd,2,sflextech,6,Posiflex Technologies,Posiflex Technologies,POSIFLEX TECHNOLOGIES,TW:FLX,2005/7/20,29000M,T8114,TW0008114000
QST International Corp,2006/2/20,2006/2/20,TW0008349002,8349,3965,QST International Corp,0,qst,4,Nyquest Technology,Nyquest Technology,NYQUEST TECHNOLOGY,TW:NQT,2014/12/24,9239V5,T6494,TW0006494008
Actron Technology Corp,2006/4/10,2006/4/10,TW0008255001,8255,3674,Actron Technology Corp,0,actron,8,ABC Taiwan Electronics,ABC Taiwan Electronics,ABC TAIWAN ELECTRONICS,TW:ATB,2004/12/2,29740V,T3236,TW0003236006
Sunnic Tech & Merch Inc,2006/5/22,2006/5/22,TW0003360004,3360,3674,Sunnic Tech & Merch Inc,5,unitechmer,5,Unitech Computer,Unitech Computer,UNITECH COMPUTER,TW:UEC,1998/2/26,675136,T2414,TW0002414000
Tang Eng Iron Works Co Ltd,2006/6/23,2006/6/23,TW0002035003,2035,3312,Tang Eng Iron Works Co Ltd,4,tangengiron,4,Tang English Iron Works,Tang English Iron Works,TANG ENG IRON WORKS,TW:TIW,2006/7/7,36188K,T2035,TW0002035003
Intl Games System Co Ltd,2006/6/28,2006/6/28,TW0003293007,3293,3999,Intl Games System Co Ltd,6,itaesyste,6,Solid State System,Solid State System,SOLID STATE SYSTEM,TW:SOL,2007/12/24,30726P,T3259,TW0003259008
Contrel Technology Co Ltd,2006/9/8,2006/9/8,TW0008064007,8064,3674,Contrel Technology Co Ltd,0,contrel,8,Richmond International Travel and Tours,Richmond International Travel and Tours,RICHMOND INTL.TRVL.& TOURS,TW:RTT,2015/3/25,9382M9,T2743,TW0002743002
Jiin Ming Industry Co Ltd,2006/9/8,2006/9/8,TW0003230009,3230,3674,Jiin Ming Industry Co Ltd,4,inngindustr,4,Sinkang Industries,Sinkang Industries,SINKANG INDS.,TW:SII,1996/5/3,887822,T2032,TW0002032000
Bionet Corp,2007/7/17,2007/7/17,TW0001784007,1784,2836,Bionet Corp,0,bionet,5,Abico Netcom,Abico Netcom,ABICO NETCOM,TW:FSH,2003/12/29,28261N,T8071,TW0008071002
Usun Technology Co Ltd,2007/9/7,2007/9/7,TW0003498002,3498,3559,Usun Technology Co Ltd,0,usun,10,Union Insurance,Union Insurance,UNION INSURANCE,TW:UIN,1992/5/5,316090,T2816,TW0002816006
Prescope Technologies Co Ltd,2007/9/26,2007/9/26,TW0003073003,3073,3674,Prescope Technologies Co Ltd,5,peotechnol,5,APEX Biotechnology,APEX Biotechnology,APEX BIOTECHNOLOGY,TW:ABC,2000/6/13,280930,T1733,TW0001733004
Sinmag Bakery Machine Corp,2007/11/27,2007/11/27,TW0001580009,1580,3556,Sinmag Bakery Machine Corp,6,sinaarmac,6,Sinphar Pharmaceutical,Sinphar Pharmaceutical,SINPHAR PHARMACEUTICAL,TW:SIP,2000/10/17,267647,T1734,TW0001734002
Cincon Electronics Co Ltd,2008/1/11,2008/1/11,TW0003332003,3332,3699,Cincon Electronics Co Ltd,0,cincons,8,Chainqui Construction Development,Chainqui Construction Development,CHAINQUI CON.DEV.,TW:PAO,1989/7/3,500026,T2509,TW0002509007
Acula Technology Corporation,2008/1/15,2008/1/15,TW0003434007,3434,3577,Acula Technology Corporation,3,acaoation,4,XAC Automation,XAC Automation,XAC AUTOMATION,TW:XAC,2001/5/14,263158,T5490,TW0005490007
Shian Yih Electronic Ind Co,2008/3/25,2008/3/25,TW0003531000,3531,3674,Shian Yih Electronic Ind Co,3,shianyihco,5,Shian Yih Electronic Industry,Shian Yih Electronic Industry,SHIAN YIH ELT.INDUSTRY,TW:SYE,2008/4/8,41471F,T3531,TW0003531000
Mag Layers Scientific-Technics,2008/4/18,2008/4/18,TW0003068003,3068,3679,Mag Layers Scientific-Technics,5,maglayerss,5,Magazine Layers Scientific-Technics,Magazine Layers Scientific-Technics,MAG.LAYERS SCIEN.-TCS.,TW:MCS,2008/5/2,30403H,T3068,TW0003068003
Actherm Inc,2008/11/3,2008/7/10,TW0001799005,1799,3829,Actherm Inc,1,atherm,9,Amulaire Thermal Technology,Amulaire Thermal Technology,AMULAIRE THERMAL TECHNOLOGY,TW:ATL,2016/3/10,89549E,T2241,TW0002241007
Swancor Ind Co Ltd,2009/1/9,2008/6/24,TW0004733001,4733,2821,Swancor Ind Co Ltd,1,swancorin,5,Swancor Holding,Swancor Holding,SWANCOR HOLDING,TW:SWC,2009/1/15,51616E,T3708,TW0003708004
Aces Electronics Co Ltd,2009/3/19,2009/3/13,TW0003605002,3605,3678,Aces Electronics Co Ltd,0,acess,10,Ta Chen Stainless Pipe,Ta Chen Stainless Pipe,TA CHEN STAINLESS PIPE,TW:TCS,1996/10/24,887353,T2027,TW0002027000
T.H.I. Group Ltd,2009/3/24,2008/4/24,TW0002636008,2636,4491,T.H.I. Group Ltd,0,thigroup,3,Thai Ho Group,Thai Ho Group,THAI HO GROUP,TW:THK,2016/1/27,8858KZ,T4136,KYG596381098
Joinsoon Electronics Mfg Co,2009/5/13,2008/1/7,TW0003322004,3322,3577,Joinsoon Electronics Mfg Co,4,joinsoonco,5,Joinsoon Electronics Manufacturing,Joinsoon Electronics Manufacturing,JOINSOON ELTN.MNFG.,TW:JOI,2009/5/20,30726H,T3322,TW0003322004
Polylite Taiwan Co Ltd,2009/7/28,2008/3/11,TW0001813004,1813,3851,Polylite Taiwan Co Ltd,5,plytetain,6,9SPLAY Entertainment Technology,9SPLAY Entertainment Technology,9SPLAY ENTERTAINMENT TECHNOLOGY,TW:SPY,2016/1/19,8844CA,T8491,TW0008491002
Unitech Electronics Co Ltd,2009/8/20,2008/11/28,TW0003652004,3652,3577,Unitech Electronics Co Ltd,1,unitech,8,Chuang Yi Biotechnology,Chuang Yi Biotechnology,CHUANG YI BIOTECH,TW:CIB,2016/1/20,8848EK,T6566,TW0006566003
Ruby Tech Corp,2009/9/1,2008/10/20,TW0008048000,8048,3679,Ruby Tech Corp,2,uytech,9,Chuang Yi Biotechnology,Chuang Yi Biotechnology,CHUANG YI BIOTECH,TW:CIB,2016/1/20,8848EK,T6566,TW0006566003
C-Tech United Corp,2009/10/21,2009/5/19,TW0003625000,3625,3691,C-Tech United Corp,3,c-techuni,6,C-Technology United,C-Technology United,C-TECH UNITED,TW:CTU,2009/10/28,53641W,T3625,TW0003625000
Asix Electronics Corp Ltd,2009/11/17,2009/6/24,TW0003169009,3169,3674,Asix Electronics Corp Ltd,0,asixs,10,Asix Electronics,Asix Electronics,ASIX ELECTRONICS,TW:ASX,2009/11/24,30831K,T3169,TW0003169009
UVAT Technology Co Ltd,2010/7/2,2009/10/27,TW0003580007,3580,3559,UVAT Technology Co Ltd,0,uvat,11,Universal Cement,Universal Cement,UNIVERSAL CEMENT,TW:UCE,1988/7/19,777153,T1104,TW0001104008
Co-Tech Copper Foil Corp,2010/9/17,2010/5/21,TW0008358003,8358,3497,Co-Tech Copper Foil Corp,6,techcoper,6,Unitech Computer,Unitech Computer,UNITECH COMPUTER,TW:UEC,1998/2/26,675136,T2414,TW0002414000
Acter Co Ltd,2010/11/3,2010/5/20,TW0005536007,5536,8711,Acter Co Ltd,0,acter,9,Quanta Computer,Quanta Computer,QUANTA COMPUTER,TW:QUM,1999/1/8,695966,T2382,TW0002382009
Acter Co Ltd,2010/11/3,2010/5/20,TW0005536007,5536,8711,Acter Co Ltd,0,acter,9,Quanta Computer,Quanta Computer,QUANTA COMPUTER,TW:QUM,1999/1/8,695966,T2382,TW0002382009
Taidoc Technology Corp,2010/11/24,2010/8/25,TW0004736004,4736,3845,Taidoc Technology Corp,0,taidoc,9,Taimed Biologics,Taimed Biologics,TAIMED BIOLOGICS,TW:TBL,2010/6/28,774523,T4147,TW0004147004
Jeng Shiang Precision Ind Co,2010/12/1,2010/6/25,TW0003685004,3685,3679,Jeng Shiang Precision Ind Co,5,jngshingre,3,Jung Shing Wire,Jung Shing Wire,JUNG SHING WIRE,TW:JSW,1998/4/28,675393,T1617,TW0001617009
HEP Tech Co Ltd,2011/1/4,2010/6/29,TW0003609004,3609,3679,HEP Tech Co Ltd,1,eptech,7,Acbel Polytech,Acbel Polytech,ACBEL POLYTECH,TW:ABP,2003/9/8,27552C,T6282,TW0006282007
Yin King Industrial Co Ltd,2011/1/5,2010/7/21,TW0001566008,1566,3542,Yin King Industrial Co Ltd,1,inking,8,Taiwan Kong King,Taiwan Kong King,TAIWAN KONG KING,TW:TKK,2005/6/17,31117C,T3093,TW0003093001
Viking Tech Corp,2011/3/9,2010/6/22,TW0003624003,3624,3677,Viking Tech Corp,2,iingtech,7,Tai-Ling Biotechnology,Tai-Ling Biotechnology,TAI-LING BIOTECH,TW:TAL,2016/2/26,8933Y6,T8496,TW0008496001
Taoyuan Hotel Co Ltd,2011/3/12,2010/10/6,TW0002718004,2718,7011,Taoyuan Hotel Co Ltd,4,uanhotel,7,Kuangli Photoelectric Technology,Kuangli Photoelectric Technology,KUANGLI PHOTOELECTRIC TECHNOLOGY,TW:KLP,2014/12/4,9224ZU,T6431,KYG532651075
Tainergy Tech Co Ltd,2011/8/9,2010/10/12,TW0004934005,4934,3674,Tainergy Tech Co Ltd,3,taingtech,6,Tai-Ling Biotechnology,Tai-Ling Biotechnology,TAI-LING BIOTECH,TW:TAL,2016/2/26,8933Y6,T8496,TW0008496001
Asia Electronic Material Co,2011/9/9,2011/4/1,TW0004939004,4939,3083,Asia Electronic Material Co,4,aamaterial,5,Advance Materials,Advance Materials,ADVANCE MATERIALS,TW:AVM,2007/10/25,51476C,T3585,TW0003585006
Apex International Co Ltd,2011/10/11,2011/7/27,KYG0407M1033,4927,3672,Apex International Co Ltd,0,apex,11,Taiwan Pelican Express,Taiwan Pelican Express,TAIWAN PELICAN EXPRESS,TW:PXP,2012/12/26,87965U,T2642,TW0002642006
Asia Tech Image Inc,2011/11/22,2011/4/26,TW0004974001,4974,3674,Asia Tech Image Inc,4,asiaimage,0,Asia Technology Image,Asia Technology Image,ASIA TECH IMAGE,TW:AAG,2010/11/19,77450V,T4974,TW0004974001
Formosa Electronic Industries,2011/12/12,2011/10/28,TW0008171000,8171,3577,Formosa Electronic Industries,4,roaindustri,4,Aurona Industries,Aurona Industries,AURONA INDUSTRIES,TW:ARN,2004/1/27,28395X,T8074,TW0008074006
YCC Parts MFG Co Ltd,2012/4/17,2011/3/28,TW0001339000,1339,3714,YCC Parts MFG Co Ltd,4,ccparts,5,CUB Elecparts,CUB Elecparts,CUB ELECPARTS,TW:CUB,2009/3/25,51476F,T2231,TW0002231008
Eris Technology Corp,2012/6/22,2011/10/19,TW0003675005,3675,3674,Eris Technology Corp,0,eris,10,ABC Taiwan Electronics,ABC Taiwan Electronics,ABC TAIWAN ELECTRONICS,TW:ATB,2004/12/2,29740V,T3236,TW0003236006
UDE Corp,2012/10/11,2012/4/16,TW0003689006,3689,3678,UDE Corp,0,ude,12,Ruentex Development,Ruentex Development,RUENTEX DEV.,TW:RTX,1992/4/30,315694,T9945,TW0009945006
INTAI Technology Corp,2012/11/8,2012/5/29,TW0004163001,4163,3841,INTAI Technology Corp,0,intai,9,Taiwan Takisawa Technology,Taiwan Takisawa Technology,TAIWAN TAKISAWA TECH.,TW:TSW,2003/9/23,27624J,T6609,TW0006609001
Zimmite Taiwan Ltd,2012/12/22,2012/3/24,TW0008435009,8435,2819,Zimmite Taiwan Ltd,6,etaiwan,8,Syneurx International (Taiwan),Syneurx International (Taiwan),SYNEURX INTERNATIONAL (TAIWAN),TW:SNU,2016/1/29,8866EW,T6575,TW0006575004
ASPEED Technology Inc,2013/4/23,2012/11/26,TW0005274005,5274,3679,ASPEED Technology Inc,0,aspeed,9,Taiwan High Speed Rail,Taiwan High Speed Rail,TAIWAN HIGH SPEED RAIL,TW:THZ,2003/9/8,30384F,T2633,TW0002633005
Sinher Technology Inc,2013/5/27,2011/5/16,TW0004999008,4999,3577,Sinher Technology Inc,0,sinher,9,Shinih Enterprise,Shinih Enterprise,SHINIH ENTERPRISE,TW:SHE,2001/1/16,256847,T9944,TW0009944009
Z-Com Inc,2013/6/18,2012/4/12,TW0008176009,8176,3699,Z-Com Inc,1,-com,11,U-Media Communications,U-Media Communications,U-MEDIA COMMUNICATIONS,TW:UME,2014/9/24,9110AU,T6470,TW0006470008
TCI Co Ltd,2013/9/5,2012/2/17,TW0008436007,8436,2099,TCI Co Ltd,0,tci,9,Taiwan Artcci,Taiwan Artcci,TAIWAN ARTCCI,TW:WAC,2016/5/16,7404ZP,T8479,TW0008479007
AIC Inc,2013/11/20,2012/3/22,TW0003693008,3693,3577,AIC Inc,0,aic,12,Taiwan Semiconductor Manufacturing,Taiwan Semiconductor Manufacturing,TAIWAN SEMICON.MNFG.,TW:TSM,1994/9/6,140406,T2330,TW0002330008
Taisol Electronics Co Ltd,2013/12/6,2013/8/27,TW0003338000,3338,3643,Taisol Electronics Co Ltd,1,taisol,9,Taiwan Sanyo Electric,Taiwan Sanyo Electric,TAIWAN SANYO ELECTRIC,TW:SET,1996/1/4,887814,T1614,TW0001614006
Ezfly Intl Travel Agent Co Ltd,2013/12/19,2013/9/10,TW0002734001,2734,7375,Ezfly Intl Travel Agent Co Ltd,6,lintravel,6,Lion Travel Service,Lion Travel Service,LION TRAVEL SERVICE,TW:LVV,2012/10/23,87764L,T2731,TW0002731007
Addcn Technology Co Ltd,2014/1/13,2012/10/19,TW0005287007,5287,7375,Addcn Technology Co Ltd,0,addcn,10,Advanced Semiconductor Engineering,Advanced Semiconductor Engineering,ADVANCED SEMICON.ENGR.,TW:ASE,1989/7/19,540324,T2311,TW0002311008
Magic Technology Co Ltd,2014/7/18,2014/4/17,TW0005255004,5255,3674,Magic Technology Co Ltd,0,magic,10,Amazing Microelectronic,Amazing Microelectronic,AMAZING MICROELECTRONIC,TW:AMX,2012/12/25,87958E,T6411,TW0006411002
Asia Neo Tech Ind Co Ltd,2014/8/18,2014/7/8,TW0004542006,4542,3559,Asia Neo Tech Ind Co Ltd,5,aieotechn,6,Allied Biotechnology,Allied Biotechnology,ALLIED BIOTECH,TW:ABB,2010/4/29,774492,T1780,TW0001780005
Good Way Tech Co Ltd,2014/8/19,2013/3/25,TW0003272001,3272,3577,Good Way Tech Co Ltd,2,goodwaych,5,Goodway Machine,Goodway Machine,GOODWAY MACHINE,TW:GDY,2008/1/24,41530V,T1583,TW0001583003
Nuuo Inc,2014/12/23,2014/8/8,TW0006419005,6419,3663,Nuuo Inc,0,nuuo,11,Janfusun Fancyworld,Janfusun Fancyworld,JANFUSUN FANCYWORLD,TW:JNF,1998/3/12,675162,T5701,TW0005701007
Xintec Inc,2015/3/23,2014/9/29,TW0003374005,3374,7389,Xintec Inc,0,xintec,9,Flexium Interconnect,Flexium Interconnect,FLEXIUM INTERCONNECT,TW:FXI,2003/9/23,27624D,T6269,TW0006269004
CTS,2015/4/13,2014/10/15,TW0003672002,3672,4812,CTS,0,cts,11,ABC Taiwan Electronics,ABC Taiwan Electronics,ABC TAIWAN ELECTRONICS,TW:ATB,2004/12/2,29740V,T3236,TW0003236006
F-Dadi,2015/4/28,2015/4/23,,8437,8299,F-Dadi,2,dadi,8,Lida Holdings,Lida Holdings,LIDA HOLDINGS,TW:LDH,2016/7/20,7742MQ,T4552,KYG5479W1033
Hycon Technology Corp,2015/6/5,2014/6/26,TW0006457005,6457,7376,Hycon Technology Corp,0,hycon,10,Chicony Electronics,Chicony Electronics,CHICONY ELECTRONICS,TW:CHY,1999/1/5,675934,T2385,TW0002385002
TSEC Corp,2015/9/23,2015/2/13,TW0006443005,6443,3674,TSEC Corp,0,tsec,11,Taiwan Semiconductor Manufacturing,Taiwan Semiconductor Manufacturing,TAIWAN SEMICON.MNFG.,TW:TSM,1994/9/6,140406,T2330,TW0002330008
Da Lue Intl Hldg Co Ltd,2015/11/19,2015/9/24,KYG2646C1024,4804,7299,Da Lue Intl Hldg Co Ltd,4,daluehldg,3,Da LUE International Holding,Da LUE International Holding,DA LUE INTL.HLDG.,TW:DLI,2014/12/29,9239V7,T4804,KYG2646C1024
Top MSO,2015/12/9,2014/9/26,,6464,3357,Top MSO,1,topso,10,Hotron Precision Electronic Industrial,Hotron Precision Electronic Industrial,HOTRON PRECN.ELT.INDL.,TW:HPE,2010/5/11,51639W,T3092,TW0003092003
Egis Technology Inc,2015/12/16,2015/4/20,TW0006462005,6462,7371,Egis Technology Inc,0,egis,6,Pegavision,Pegavision,PEGAVISION,TW:PEV,2014/12/30,9267HL,T6491,TW0006491004
HOYA,2015/12/29,2015/3/6,TW0002736006,2736,7011,HOYA,0,hoya,11,Holiday Entertainment,Holiday Entertainment,HOLIDAY ENTERTAINMENT,TW:HDY,2000/11/30,280698,T9943,TW0009943001
